instrument_name,mode_category,beat_category,gukak_style,music_src_nm,split_data
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02585,train
가야금,평조계열,혼합 및 기타,창작국악,BM_CR2_01850,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01260,train
대금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01436,train
가야금,계면조계열,불균등,창작국악,BP_CR2_00499,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01620,train
가야금,평조계열,혼합 및 기타,창작국악,BM_CR2_03319,train
해금,계면조계열,균등,창작국악,BP_CR2_00678,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01615,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02954,train
훈,평조계열,혼합 및 기타,창작국악,BM_CR2_03251,train
해금,계면조계열,불균등,창작국악,BP_CR2_00624,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR1_01154,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02716,train
해금,계면조계열,균등,창작국악,BP_CR2_00674,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01666,train
피리,계면조계열,균등,창작국악,BP_CR1_03441,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02914,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02556,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02738,train
피리,계면조계열,균등,창작국악,BP_CR2_00865,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_02407,train
대금,계면조계열,균등,창작국악,BP_CR2_01301,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02776,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00529,train
해금,계면조계열,균등,창작국악,BP_CR1_00030,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00702,train
대금,평조계열,균등,창작국악,BP_CR2_00393,train
태평소,계면조계열,불균등,창작국악,BP_CR1_03478,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01639,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02547,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01679,train
피리,평조계열,균등,창작국악,BP_CR2_00414,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00488,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02712,train
가야금,계면조계열,불균등,창작국악,BP_CR2_00103,train
해금,평조계열,균등,창작국악,BP_CR2_00341,train
해금,계면조계열,균등,창작국악,BP_CR2_00145,train
해금,계면조계열,균등,창작국악,BP_CR2_00676,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00634,train
해금,계면조계열,균등,창작국악,BP_CR2_00673,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00652,train
해금,계면조계열,불균등,창작국악,BP_CR2_00503,train
해금,평조계열,균등,창작국악,BP_CR2_00137,train
가야금,계면조계열,균등,창작국악,BP_CR1_02197,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02714,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02895,train
