id,key_signature,chord_progressions,pitch_min,pitch_max,num_measures,bpm,time_signature,sample_rhythm,min_velocity,max_velocity,instruments
AP_E01_02222,G# minor,"['G#', 'G#', 'B-', 'C#', 'B-.C#', 'B-', 'E-', 'G#', 'G#', 'B-']",56,63,2,120.0,60/8,"[7.25, 3.5, 3.75, Fraction(10, 3), 3.75, 7.5, 1.0, 2.5, 2.75]",54,54,['Steinway Grand Piano']
AP_E04_02024,F# minor,"['A', 'F#', 'B', 'B', 'A', 'F#.A', 'F#', 'B', 'B', 'A.B', 'A', 'F#.A', 'F#', 'B', 'B', 'B', 'B', 'A', 'A', 'B', 'E', 'C#', 'C#', 'C#', 'C#']",47,64,6,120.0,4/4,"[2.0, 1.0, 1.0, 0.75, 1.0, 1.75, 0.5, 0.5, 1.75, 1.0, 1.0, 0.5, 1.0, 2.0, 0.25, 0.5, 1.75, 0.75, 0.75, Fraction(11, 12), 0.75]",59,59,['Steinway Grand Piano']
AP_E01_02554,F# major,"['C#', 'E-', 'G#.E-', 'G#', 'F#', 'F#.G#', 'G#', 'B-', 'G#', 'F#.G#', 'F#', 'F#', 'G#', 'C#', 'E-', 'C#', 'E-', 'C#', 'E-', 'E-.G#', 'G#', 'F#', 'F#.G#', 'G#', 'F#.G#', 'F#', 'F#', 'C#.F#', 'C#', 'C#', 'E-', 'F#', 'G#', 'C#', 'C#', 'C#', 'F#', 'G#', 'F#.G#', 'F#', 'F#.B', 'B', 'C#', 'F#', 'F#', 'G#', 'C#', 'F#', 'F#.G#', 'G#', 'F#', 'B', 'B', 'C#', 'F#.C#', 'F#', 'G#']",61,75,6,120.0,18/8,"[4.25, 0.25, 0.5, 0.25, Fraction(1, 3), 0.75, Fraction(7, 3), 0.5, 0.5, 0.25, 1.0, 0.25, 0.5, 1.5, 0.5, Fraction(1, 3), 0.5, 0.5, 0.5, Fraction(1, 3), 1.25, 1.0, 0.5, 0.5, 2.5, 1.0, 2.25, 1.5, 1.0, Fraction(5, 3), 1.75, Fraction(1, 3), 2.25, 0.25, 1.0, 0.25, 1.75, Fraction(8, 3), 1.25, 0.25, 0.75, 1.25, Fraction(2, 3), 2.0, Fraction(7, 3), 0.75]",61,73,['Steinway Grand Piano']
AP_E01_03271,E- minor,"['G#', 'F', 'E-', 'F', 'B-', 'C', 'F', 'G#', 'F', 'E-.F', 'E-', 'G#', 'B-', 'G#.B-', 'G#', 'G#', 'B-', 'F', 'E-', 'F', 'C', 'B-', 'B-.C', 'E-', 'G#', 'F', 'E-']",58,72,2,120.0,60/8,"[0.5, 5.0, 3.5, 0.5, Fraction(29, 3), 0.5, 0.5, 0.25, Fraction(2, 3), Fraction(11, 3), Fraction(5, 3), 0.5, 1.75, 1.0, Fraction(1, 3), 2.0, 8.5, 0.25, 0.5, 3.25, 0.25, 1.5, Fraction(1, 3), Fraction(11, 3), 0.5]",60,116,['AP_E01_03271']
AP_E01_04086,F# major,"['C#', 'G#.B', 'G#', 'F#.G#', 'F#', 'G#', 'G#', 'G#.C#', 'C#', 'B.C#', 'B', 'G#', 'F#', 'F#', 'F#', 'C#', 'C#', 'C#', 'C#', 'C#.F#', 'F#', 'G#', 'F#', 'F#', 'F#', 'F#', 'F#.G#.B', 'G#.B', 'G#.B', 'G#', 'C#', 'F#', 'C#']",49,61,5,120.0,18/8,"[2.5, 0.25, Fraction(7, 3), Fraction(4, 3), Fraction(8, 3), 4.5, 2.5, 0.5, Fraction(1, 3), Fraction(4, 3), 2.5, Fraction(7, 3), 2.25, 1.75, Fraction(8, 3), 2.5, Fraction(7, 3), 1.25, Fraction(5, 12), 0.25, 2.5, 2.5, Fraction(7, 3), 0.75, Fraction(5, 12)]",72,72,['Steinway Grand Piano']
AP_E01_02837,A- major,"['E-', 'G#', 'F.G#', 'F', 'E-', 'E-', 'E-', 'E-.F', 'F', 'F', 'G#', 'G#', 'G#', 'B-', 'F', 'B-', 'B-', 'C', 'E-', 'E-', 'E-.G#', 'G#', 'G#', 'G#', 'B-', 'F', 'F', 'B-.F', 'B-', 'B-', 'B-.C', 'C', 'E-', 'E-', 'E-']",58,70,15,120.0,4/4,"[Fraction(11, 3), Fraction(1, 3), 1.75, Fraction(1, 6), 2.0, Fraction(5, 3), 0.5, 2.0, Fraction(1, 3), Fraction(11, 3), 4.0, Fraction(2, 3), Fraction(1, 3), 2.0, 1.0, 2.75, Fraction(1, 3), Fraction(10, 3), Fraction(10, 3), 0.75, 4.0, 3.0, Fraction(2, 3), Fraction(1, 3), Fraction(17, 12), Fraction(8, 3), Fraction(13, 12), 0.25, 1.0, 4.0, Fraction(2, 3)]",64,64,['Steinway Grand Piano']
AP_E01_02523,F# major,"['C#', 'E-', 'C#', 'F#', 'G#', 'G#', 'C#', 'G#.C#', 'G#', 'G#', 'F#.G#', 'F#', 'F#.G#', 'G#', 'C#']",49,63,2,120.0,12/8,"[1.0, 1.0, 1.0, 2.0, 0.75, 0.25, 1.75, 0.25, 0.5, 0.25, Fraction(5, 3), 0.5, 0.5]",51,51,['Steinway Grand Piano']
AP_E01_03489,E major,"['F#', 'F#', 'B', 'B', 'B', 'G#.B', 'G#', 'G#', 'B', 'B', 'G#', 'C#', 'G#', 'E', 'F#', 'G#', 'C#', 'B', 'B.C#', 'C#', 'G#', 'E', 'C#', 'B', 'B', 'C#', 'C#', 'E.C#', 'E', 'C#', 'C#', 'C#', 'C#']",40,64,6,120.0,12/8,"[1.75, 0.75, 1.75, 0.75, 1.0, 0.75, 0.75, 1.75, 0.75, 1.75, 0.75, 1.75, 0.75, 1.75, 0.75, Fraction(4, 3), 1.0, 1.5, 0.75, 1.0, 0.25, 0.75, Fraction(5, 3), Fraction(5, 3), 0.75, 0.25, 0.75, 0.5]",56,60,['Steinway Grand Piano']
AP_E01_03995,B minor,"['F#', 'B', 'B', 'F#', 'F#.A', 'A', 'A', 'F#']",54,59,2,120.0,60/8,"[8.5, 8.0, 8.0, 4.0, Fraction(5, 3), Fraction(2, 3), 1.25]",65,65,['Steinway Grand Piano']
AP_E01_03109,A major,"['F#', 'E', 'B', 'B.E', 'E', 'F#', 'A', 'F#.A', 'F#', 'E', 'E', 'E.F#', 'F#', 'C#', 'B', 'B.E', 'E', 'A', 'F#', 'E', 'C#', 'B', 'C#', 'E', 'C#', 'B']",59,69,3,120.0,18/8,"[1.25, 0.75, Fraction(2, 3), 0.25, Fraction(2, 3), 0.75, 0.25, 0.5, 0.25, 1.0, Fraction(2, 3), 0.25, 1.0, Fraction(2, 3), Fraction(1, 3), Fraction(5, 3), Fraction(1, 3), 1.0, Fraction(23, 12), 1.75, 2.0, 0.5]",47,47,['Steinway Grand Piano']
