index,audio_key,pitch_range,num_measures,bpm,genre,track_role,inst,sample_rhythm,time_signature,min_velocity,max_velocity,split_data,id
0,aminor,mid,8,120,cinematic,main_melody,string_ensemble,standard,4/4,101,102,train,commu00001
1,cmajor,mid_low,8,80,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00002
2,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,123,127,train,commu00003
3,cmajor,mid,8,110,cinematic,pad,choir,standard,4/4,45,46,train,commu00004
4,aminor,mid_low,4,60,cinematic,pad,acoustic_piano,standard,4/4,21,22,train,commu00005
5,aminor,mid_high,8,120,cinematic,riff,string_ensemble,standard,4/4,121,122,train,commu00006
6,aminor,mid_low,8,110,cinematic,accompaniment,string_ensemble,standard,4/4,87,96,train,commu00007
7,cmajor,mid,4,120,cinematic,sub_melody,brass_ensemble,standard,4/4,68,92,train,commu00008
8,cmajor,mid_high,8,120,cinematic,riff,string_violin,standard,4/4,117,126,train,commu00009
9,aminor,mid_low,8,150,cinematic,accompaniment,string_ensemble,standard,4/4,113,122,train,commu00010
10,aminor,mid_high,4,60,cinematic,main_melody,string_ensemble,standard,4/4,21,22,train,commu00011
11,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,123,127,train,commu00012
12,aminor,mid,4,130,newage,pad,acoustic_piano-2,standard,4/4,55,56,train,commu00013
13,aminor,mid_high,4,60,cinematic,main_melody,string_ensemble,standard,4/4,41,42,train,commu00014
14,aminor,mid_low,4,60,cinematic,pad,string_ensemble,standard,4/4,22,24,train,commu00015
15,aminor,mid_low,8,120,cinematic,pad,acoustic_piano,standard,4/4,95,96,train,commu00016
16,cmajor,mid,8,110,cinematic,main_melody,celesta,standard,4/4,75,76,train,commu00017
17,cmajor,mid_high,8,120,cinematic,riff,string_violin,standard,4/4,115,116,train,commu00018
18,aminor,mid,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,83,91,train,commu00019
19,cmajor,mid,8,50,newage,pad,brass_ensemble,standard,4/4,81,82,train,commu00020
20,cmajor,mid,8,135,cinematic,main_melody,bassoon-2,standard,4/4,103,104,train,commu00021
21,cmajor,mid,8,110,cinematic,sub_melody,flute,standard,4/4,67,70,train,commu00022
22,cmajor,mid,4,65,newage,pad,string_ensemble,standard,4/4,53,60,train,commu00023
23,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,23,30,train,commu00024
24,cmajor,low,8,50,newage,bass,acoustic_piano,standard,4/4,71,72,train,commu00025
25,aminor,mid_high,4,60,cinematic,main_melody,string_ensemble,standard,4/4,21,22,train,commu00026
26,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,123,127,train,commu00027
27,cmajor,mid_low,8,110,cinematic,riff,acoustic_piano,standard,4/4,51,52,train,commu00028
28,aminor,mid,8,110,cinematic,riff,string_ensemble,triplet,4/4,113,122,train,commu00029
29,aminor,mid,8,110,cinematic,riff,acoustic_piano,triplet,4/4,53,62,train,commu00030
30,cmajor,mid,8,110,cinematic,accompaniment,acoustic_piano,standard,4/4,81,84,train,commu00031
31,aminor,mid,8,110,cinematic,sub_melody,flute,standard,4/4,91,92,train,commu00032
32,aminor,mid,8,120,cinematic,accompaniment,string_ensemble,standard,4/4,121,122,train,commu00033
33,cmajor,mid_high,8,120,cinematic,riff,string_violin,standard,4/4,115,116,train,commu00034
34,cmajor,mid_low,4,120,cinematic,riff,string_ensemble,standard,4/4,115,122,train,commu00035
