index,audio_key,pitch_range,num_measures,bpm,genre,track_role,inst,sample_rhythm,time_signature,min_velocity,max_velocity,split_data,id
0,g#minor,mid_high,2,120,풍류음악,sub_melody,가야금,triplet,60/8,54,54,train,AP_E01_02222
1,f#minor,mid_high,6,120,풍류음악,sub_melody,가야금,duodecuplet,4/4,59,59,train,AP_E04_02024
2,f#major,high,6,120,풍류음악,main_melody,해금,triplet,18/8,61,73,train,AP_E01_02554
3,e-minor,high,2,120,풍류음악,main_melody,피리,triplet,60/8,60,116,train,AP_E01_03271
4,f#major,mid_high,5,120,풍류음악,sub_melody,가야금,triplet,18/8,72,72,train,AP_E01_04086
5,a-major,high,15,120,풍류음악,main_melody,해금,triplet,4/4,64,64,train,AP_E01_02837
6,f#major,mid_high,2,120,풍류음악,sub_melody,가야금,triplet,12/8,51,51,train,AP_E01_02523
7,emajor,mid_high,6,120,풍류음악,bass,거문고,triplet,12/8,56,60,train,AP_E01_03489
8,bminor,mid_high,2,120,풍류음악,sub_melody,가야금,triplet,60/8,65,65,train,AP_E01_03995
9,amajor,high,3,120,풍류음악,main_melody,피리,triplet,18/8,47,47,train,AP_E01_03109
10,f#minor,high,1,120,풍류음악,main_melody,대금,triplet,60/8,66,106,train,AP_E05_04865
11,amajor,mid_high,2,120,풍류음악,sub_melody,가야금,standard,60/8,69,69,train,AP_E01_03680
12,eminor,mid,2,120,풍류음악,sub_melody,가야금,triplet,60/8,57,57,train,AP_E01_02639
13,amajor,mid,3,120,풍류음악,sub_melody,가야금,triplet,30/8,67,67,train,AP_E01_02467
14,amajor,very_high,3,120,풍류음악,main_melody,피리,triplet,18/8,63,74,train,AP_E01_03887
15,dmajor,high,13,120,풍류음악,main_melody,피리,triplet,4/4,65,65,train,AP_E01_03758
16,dmajor,high,2,120,풍류음악,main_melody,대금,triplet,60/8,91,117,train,AP_E01_03623
17,g#minor,high,4,120,풍류음악,main_melody,해금,triplet,12/8,60,87,train,AP_E01_02510
18,bminor,very_high,3,120,풍류음악,main_melody,대금,triplet,18/8,45,54,train,AP_E01_03065
19,eminor,very_high,2,120,풍류음악,main_melody,대금,triplet,18/8,59,89,train,AP_E01_02991
20,eminor,high,11,120,풍류음악,main_melody,해금,triplet,4/4,52,58,train,AP_E01_04027
21,aminor,high,3,120,풍류음악,main_melody,해금,triplet,12/8,63,63,train,AP_E01_02401
22,aminor,mid_high,5,120,풍류음악,sub_melody,가야금,triplet,18/8,42,42,train,AP_E01_02874
23,eminor,mid_high,2,120,풍류음악,sub_melody,가야금,triplet,60/8,69,69,train,AP_E01_03974
24,bmajor,high,7,120,풍류음악,main_melody,해금,triplet,12/8,65,75,train,AP_E01_02528
25,emajor,high,6,120,풍류음악,main_melody,피리,triplet,12/8,72,80,train,AP_E01_03516
